nodes	id	label	name	category_code	crunchbase_url	description	number_of_employees	created_at	updated_at	founded_day	alias_list	deadpooled_month	deadpooled_year	deadpooled_day	deadpooled_url	twitter_username	homepage_url	total_money_raised	blog_url	error	blog_feed_url	founded_month	email_address	founded_year
tokita-investments	665009	company																						
advercar	665038	company																						
launchgram	665167	company																						
utap	665168	company																						
zoopshop	665169	company																						
efuneral	665170	company																						
tackk	665171	company																						
acclaimd	665172	company																						
acceptd	665173	company																						
imagry	665174	company																						
moveez	665175	company																						
connecttohome	665176	company																						
panopticon-laboratories	665177	company																						
fly-apparel	665178	company																						
prized	665179	company																						
oye	665180	company																						
last-size	665181	company																						
leapin	665182	company																						
stockleap	665183	company																						
morphcard	665184	company																						
oneexchangestreet	665185	company																						
rooftop-down	665186	company																						
mondokio	665187	company																						
abilto	665568	company																						
attendware	665569	company																						
pwnie-express	665570	company																						
threat-stack	665571	company																						
wireover	665572	company																						
kickanotch-mobile	665573	company																						
arkex	665574	company																						
fireid	665575	company																						
bettech-gaming	665576	company																						
motribe	665577	company																						
snapt	665578	company																						
mybuilder	665579	company																						
ubiquisys	665580	company																						
altruja	665581	company																						
synerscope	665582	company																						
rapportive	665583	company																						
recurly	665584	company																						
wildfire-interactive	665585	company																						
awayfind	665586	company																						
otherinbox	665587	company																						
sitejabber	665588	company																						
wakemate	665589	company																						
mogotix	665590	company																						
erply	665591	company																						
sendgrid	665592	company																						
payvment	665593	company																						
groupspaces	665594	company																						
medialets	665595	company																						
appbistro	665596	company																						
flowtown	665597	company																						
zozi	665598	company																						
udemy	665599	company																						
transparent-financial-services	665600	company																						
indinero	665601	company																						
votizen	665602	company																						
brainient	665603	company																						
onetruefan	665604	company																						
tello	665605	company																						
readyforzero	665606	company																						
estately	665607	company																						
exchange-corporation-k-k	665608	company																						
twilio	665609	company																						
retailigence	665610	company																						
banksimple	665611	company																						
freejit	665612	company																						
bunndle	665613	company																						
miso-media	665614	company																						
khush	665615	company																						
gazehawk	665616	company																						
fanbridge	665617	company																						
