source	target	type	source_id	id	label	name	category_code	crunchbase_url	funded_month	source_description	round_code	raised_amount	permalink	source_url	raised_currency_code	funded_year	funded_day
"(664799 {""stub"":""False"",""permalink"":""101-startups"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/101-startups"",""name"":""101 Startups"",""visited"":""False"",""created_at"":""Tue Jul 02 12:28:55 UTC 2013"",""updated_at"":""Tue Jul 02 12:28:55 UTC 2013""})"	"(665420 {""stub"":"""",""visited"":""False"",""permalink"":""social-beyond"",""name"":""Social & Beyond""})"	funded		101-startups__social-beyond	funded						seed	400000.0	101-startups__social-beyond		EUR	2013	
"(664799 {""stub"":""False"",""permalink"":""101-startups"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/101-startups"",""name"":""101 Startups"",""visited"":""False"",""created_at"":""Tue Jul 02 12:28:55 UTC 2013"",""updated_at"":""Tue Jul 02 12:28:55 UTC 2013""})"	"(665421 {""stub"":"""",""visited"":""False"",""permalink"":""fishki"",""name"":""Fishki""})"	funded		101-startups__fishki	funded					Why 101StartUp invested $1.2m in Fishki.net	seed	1200000.0	101-startups__fishki	http://rusbase.com/news/author/sophierigby/101startup-interview/	USD	2013	
"(664799 {""stub"":""False"",""permalink"":""101-startups"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/101-startups"",""name"":""101 Startups"",""visited"":""False"",""created_at"":""Tue Jul 02 12:28:55 UTC 2013"",""updated_at"":""Tue Jul 02 12:28:55 UTC 2013""})"	"(665422 {""stub"":"""",""visited"":""False"",""permalink"":""audiosnaps"",""name"":""AudioSnaps""})"	funded		101-startups__audiosnaps	funded					AudioSnaps partners with Lanta Digital Ventures and 101 Startups	seed	1200000.0	101-startups__audiosnaps	http://blog.audiosnaps.com/2013/12/23/audiosnaps-partners-with-lanta-digital-ventures-and-101-startups/	USD	2013	
"(664800 {""phone_number"":"""",""permalink"":""10i10-aps"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10i10-aps"",""description"":"""",""created_at"":""Tue Dec 29 04:29:13 UTC 2009"",""updated_at"":""Sat May 25 09:15:03 UTC 2013"",""stub"":""False"",""homepage_url"":""http://www.10i10.dk"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False"",""email_address"":"""",""alias_list"":"""",""name"":""10i10 ApS""})"	"(665423 {""stub"":"""",""visited"":""False"",""permalink"":""iptronics-a-s"",""name"":""IPtronics A/S""})"	funded		10i10-aps__iptronics-a-s	funded					IPtronics closes $10M investment round	b	10380000.0	10i10-aps__iptronics-a-s	http://www.laserfocusworld.com/display_article/320625/42/none/none/INDUS/IPtronics-closes-$10M-investment-round	USD	2008	
"(664801 {""stub"":""False"",""permalink"":""10x"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x"",""name"":""10x"",""visited"":""False"",""created_at"":""Mon Jun 17 18:43:26 UTC 2013"",""updated_at"":""Mon Jun 17 23:27:42 UTC 2013""})"	"(665424 {""stub"":"""",""visited"":""False"",""permalink"":""edusourced"",""name"":""EduSourced""})"	funded		10x__edusourced	funded						seed	20000.0	10x__edusourced		USD	2012	
"(664802 {""stub"":""False"",""permalink"":""10x-fund-lp"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x-fund-lp"",""name"":""10X Fund LP"",""visited"":""False"",""created_at"":""Fri Dec 11 06:49:00 UTC 2009"",""updated_at"":""Fri Nov 29 08:26:16 UTC 2013""})"	"(665425 {""stub"":"""",""visited"":""False"",""permalink"":""pro-pharmaceuticals"",""name"":""Galectin Therapeutics""})"	funded		10x-fund-lp__pro-pharmaceuticals	funded					Pro-Pharmaceuticals takes another $325,000 bite of Series B	b	325000.0	10x-fund-lp__pro-pharmaceuticals	http://www.masshightech.com/stories/2009/12/07/daily36-Pro-Pharmaceuticals-takes-another-325000-bite-of-Series-B.html	USD	2009	
"(664802 {""stub"":""False"",""permalink"":""10x-fund-lp"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x-fund-lp"",""name"":""10X Fund LP"",""visited"":""False"",""created_at"":""Fri Dec 11 06:49:00 UTC 2009"",""updated_at"":""Fri Nov 29 08:26:16 UTC 2013""})"	"(665425 {""stub"":"""",""visited"":""False"",""permalink"":""pro-pharmaceuticals"",""name"":""Galectin Therapeutics""})"	funded		10x-fund-lp__pro-pharmaceuticals	funded					PRO-PHARMACEUTICALS CLOSES INITIAL $1.8 MILLION TRANCHE OF UP TO $6.0 MILLION PRIVATE PLACEMENT	b	1800000.0	10x-fund-lp__pro-pharmaceuticals	http://phx.corporate-ir.net/phoenix.zhtml?c=135403&p=irol-newsArticle&ID=1567312&highlight=	USD	2009	
"(664802 {""stub"":""False"",""permalink"":""10x-fund-lp"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x-fund-lp"",""name"":""10X Fund LP"",""visited"":""False"",""created_at"":""Fri Dec 11 06:49:00 UTC 2009"",""updated_at"":""Fri Nov 29 08:26:16 UTC 2013""})"	"(665425 {""stub"":"""",""visited"":""False"",""permalink"":""pro-pharmaceuticals"",""name"":""Galectin Therapeutics""})"	funded		10x-fund-lp__pro-pharmaceuticals	funded					PRO-PHARMACEUTICALS CLOSES $500,000 TRANCHE; BRINGS TOTAL TO $3.2 MILLION OF $6.0 MILLION PRIVATE PLACEMENT (this a difference tranche reported in body of article)	b	900000.0	10x-fund-lp__pro-pharmaceuticals	http://phx.corporate-ir.net/phoenix.zhtml?c=135403&p=irol-newsArticle&ID=1567319&highlight=	USD	2009	
"(664802 {""stub"":""False"",""permalink"":""10x-fund-lp"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x-fund-lp"",""name"":""10X Fund LP"",""visited"":""False"",""created_at"":""Fri Dec 11 06:49:00 UTC 2009"",""updated_at"":""Fri Nov 29 08:26:16 UTC 2013""})"	"(665425 {""stub"":"""",""visited"":""False"",""permalink"":""pro-pharmaceuticals"",""name"":""Galectin Therapeutics""})"	funded		10x-fund-lp__pro-pharmaceuticals	funded					PRO-PHARMACEUTICALS CLOSES $500,000 TRANCHE; BRINGS TOTAL TO $3.2 MILLION OF $6.0 MILLION PRIVATE PLACEMENT	b	500000.0	10x-fund-lp__pro-pharmaceuticals	http://phx.corporate-ir.net/phoenix.zhtml?c=135403&p=irol-newsArticle&ID=1567319&highlight=	USD	2009	
"(664802 {""stub"":""False"",""permalink"":""10x-fund-lp"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x-fund-lp"",""name"":""10X Fund LP"",""visited"":""False"",""created_at"":""Fri Dec 11 06:49:00 UTC 2009"",""updated_at"":""Fri Nov 29 08:26:16 UTC 2013""})"	"(665425 {""stub"":"""",""visited"":""False"",""permalink"":""pro-pharmaceuticals"",""name"":""Galectin Therapeutics""})"	funded		10x-fund-lp__pro-pharmaceuticals	funded					PRO-PHARMACEUTICALS CLOSES $325,000 TRANCHE; BRINGS TOTAL TO $3.8 MILLION OF $6.0 MILLION PRIVATE PLACEMENT	b	325000.0	10x-fund-lp__pro-pharmaceuticals	http://phx.corporate-ir.net/phoenix.zhtml?c=135403&p=irol-newsArticle&ID=1567330&highlight=	USD	2009	
