nodes	id	label	first_name	last_name	affiliation_name	created_at	updated_at	twitter_username	blog_feed_url	blog_url	alias_list	born_month	crunchbase_url	homepage_url	born_day	born_year
aadi-deshpande	665376	person	Aadi	Deshpande	Unaffiliated	Thu Oct 02 17:46:39 UTC 2008	Fri Oct 03 19:25:26 UTC 2008						http://www.crunchbase.com/person/aadi-deshpande			
aadik-shekar	665377	person	Aadik	Shekar	Unaffiliated	Fri Jun 28 06:34:56 UTC 2013	Fri Jun 28 06:36:18 UTC 2013						http://www.crunchbase.com/person/aadik-shekar			
aadil-mamujee	665378	person	Aadil	Mamujee	Unaffiliated	Wed Oct 16 07:46:35 UTC 2013	Wed Oct 16 07:46:35 UTC 2013						http://www.crunchbase.com/person/aadil-mamujee			
aadit-singh-bimbhet	665379	person	Aadit	Singh Bimbhet	Fast Forward Advisors	Sun Feb 10 12:03:42 UTC 2013	Wed Feb 20 22:39:35 UTC 2013						http://www.crunchbase.com/person/aadit-singh-bimbhet			
aadith-d-vikram	665380	person	Aadith	D. Vikram	Unaffiliated	Sat Sep 27 04:49:06 UTC 2008	Sat Sep 27 06:36:34 UTC 2008						http://www.crunchbase.com/person/aadith-d-vikram			
aaditya-gupta	665381	person	Aaditya	Gupta	Unaffiliated	Tue Feb 25 04:54:01 UTC 2014	Tue Feb 25 20:21:15 UTC 2014						http://www.crunchbase.com/person/aaditya-gupta			
aaditya-paul	665382	person	Aaditya	Paul	Unaffiliated	Mon Sep 06 15:25:49 UTC 2010	Tue Sep 07 23:35:08 UTC 2010						http://www.crunchbase.com/person/aaditya-paul			
aaditya-sood	665383	person	Aaditya	Sood	Unaffiliated	Wed Oct 09 09:39:19 UTC 2013	Wed Oct 09 11:33:31 UTC 2013						http://www.crunchbase.com/person/aaditya-sood			
aakar-industries	665384	person	Aakar	Industries	Unaffiliated	Mon Apr 01 11:23:32 UTC 2013	Mon Apr 01 11:23:34 UTC 2013						http://www.crunchbase.com/person/aakar-industries	http://www.indiamart.com/aakarindustries		
aakar-patel	665385	person	Aakar	Patel	Unaffiliated	Thu Aug 04 02:14:15 UTC 2011	Thu Aug 04 02:14:15 UTC 2011						http://www.crunchbase.com/person/aakar-patel			
aakarsh-nair	665386	person	Aakarsh	Nair	Unaffiliated	Sat Dec 20 00:47:59 UTC 2008	Mon Dec 22 01:52:45 UTC 2008						http://www.crunchbase.com/person/aakarsh-nair			
aakash-attharkar	665387	person	Aakash	Attharkar	Unaffiliated	Fri Dec 09 04:14:34 UTC 2011	Thu Dec 15 21:09:34 UTC 2011					2	http://www.crunchbase.com/person/aakash-attharkar		13	1992
aakash-banerjee	665388	person	Aakash	Banerjee	Unaffiliated	Wed Apr 11 23:12:59 UTC 2012	Fri Apr 13 21:50:13 UTC 2012						http://www.crunchbase.com/person/aakash-banerjee			
aakash-desai	665389	person	Aakash	Desai	Code for America	Thu Jun 06 06:57:44 UTC 2013	Thu Dec 19 09:36:03 UTC 2013	aakashhdesai					http://www.crunchbase.com/person/aakash-desai			
aakash-dharmadhikari	665390	person	Aakash	Dharmadhikari	C42 Engineering	Sun Oct 16 15:05:31 UTC 2011	Sun Oct 30 23:32:03 UTC 2011	aakashd		http://prblm.aakashd.com		4	http://www.crunchbase.com/person/aakash-dharmadhikari		4	1984
aakash-goel	665391	person	Aakash	Goel	Unaffiliated	Sat Aug 10 10:54:52 UTC 2013	Fri Mar 07 01:49:52 UTC 2014						http://www.crunchbase.com/person/aakash-goel			
aakash-goyel	665392	person	Aakash	Goyel	Unaffiliated	Tue Jul 12 01:05:19 UTC 2011	Tue Jul 12 19:06:33 UTC 2011						http://www.crunchbase.com/person/aakash-goyel			
